,tweet_id,favorite_count,retweet_count
175,856543823941562368,15450,2680
176,856526610513747968,11219,1748
177,856330835276025856,0,619
178,856288084350160898,487,15
179,856282028240666624,26225,5838
180,855862651834028034,314,22
181,855860136149123072,4625,900
182,855857698524602368,11250,1958
183,855851453814013952,43419,16858
184,855818117272018944,25259,5058
185,855459453768019968,28199,7672
186,855245323840757760,0,5532
187,855138241867124737,0,40
188,854732716440526848,21576,5667
189,854482394044301312,27711,6378
190,854365224396361728,17951,4383
191,854120357044912130,30395,6968
192,854010172552949760,15452,2949
193,853760880890318849,27195,5409
194,853639147608842240,32967,9382
195,853299958564483072,14761,3337
196,852936405516943360,0,1864
197,852912242202992640,8593,1694
198,852672615818899456,14235,2035
199,852553447878664193,15520,3268
200,852311364735569921,31611,9359
201,852226086759018497,19091,6459
202,852189679701164033,10977,1499
203,851861385021730816,0,19
204,851591660324737024,15576,3273
205,851464819735769094,23210,6677
206,851224888060895234,19819,5444
207,850753642995093505,29449,8571
208,850380195714523136,12574,2459
209,850333567704068097,3314,310
210,850145622816686080,15650,3588
211,850019790995546112,19597,4609
212,849776966551130114,29152,7184
213,849668094696017920,0,4706
214,849412302885593088,15248,2984
215,849336543269576704,10959,1791
216,849051919805034497,40661,8015
217,848690551926992896,24233,4107
218,848324959059550208,23779,4392
219,848213670039564288,7854,681
220,848212111729840128,15699,2871
221,847978865427394560,0,3099
222,847971574464610304,0,419
223,847962785489326080,22647,4822
224,847842811428974592,5225,1254
225,847617282490613760,6731,390
226,847606175596138505,18091,3256
227,847251039262605312,19754,4117
228,847157206088847362,19117,5567
229,847116187444137987,20701,3037
230,846874817362120707,19367,3736
231,846514051647705089,42968,10988
232,846505985330044928,13623,2926
233,846153765933735936,30448,8614
234,846139713627017216,29955,9617
235,846042936437604353,15424,2728
236,845812042753855489,28198,8280
237,845677943972139009,24347,4596
238,845397057150107648,7356,1699
239,845306882940190720,22536,5137
240,845098359547420673,0,7316
241,844979544864018432,13193,2432
242,844973813909606400,14534,3032
243,844580511645339650,15927,2976
244,844223788422217728,13214,2083
245,843981021012017153,14700,2831
246,843856843873095681,20787,4409
247,843604394117681152,16360,2616
248,843235543001513987,20824,5741
249,842846295480000512,14830,3481
250,842765311967449089,6511,1208
251,842535590457499648,17588,3368
252,842163532590374912,23685,5532
253,842115215311396866,13554,2893
254,841833993020538882,0,14396
255,841680585030541313,25026,7521
256,841439858740625411,12240,3519
257,841320156043304961,19221,5298
258,841314665196081154,15361,4454
259,841077006473256960,22191,5104
260,840761248237133825,0,1687
261,840728873075638272,0,15409
262,840698636975636481,171,2
263,840696689258311684,11935,931
264,840632337062862849,8725,1687
265,840370681858686976,15968,4376
266,840268004936019968,18699,5513
267,839990271299457024,13054,2185
268,839549326359670784,26672,7468
269,839290600511926273,0,137
270,839239871831150596,26360,6277
271,838952994649550848,19123,3855
272,838921590096166913,10837,1964
273,838916489579200512,0,33
274,838831947270979586,0,10624
275,838561493054533637,10684,1281
276,838476387338051585,21880,4579
277,838201503651401729,0,9676
278,838150277551247360,1622,318
279,838085839343206401,136,1
280,838083903487373313,17181,3002
281,837820167694528512,33188,7568
282,837482249356513284,3763,427
283,837471256429613056,12472,2181
284,837110210464448512,15645,2282
285,836989968035819520,12431,2228
286,836753516572119041,18879,4490
287,836677758902222849,12322,2149
288,836648853927522308,0,534
289,836397794269200385,0,26592
290,836380477523124226,14430,2893
291,836260088725786625,20802,4166
292,836001077879255040,18615,4125
293,835685285446955009,0,7862
294,835574547218894849,17393,3497
295,835536468978302976,0,1631
296,835309094223372289,0,20261
